title	creator	publisher	language	ncid	edition	publicationDate	note	subject
シェルパ斉藤の行きあたりばっ旅 : 抱腹絶倒の日本全国ザック旅日記	斉藤政喜著	小学館	jpn	BN12418197		1994.10		NDC8:291.09
豊栄市・北蒲原郡(2)	五百川清著	新潟日報事業社出版部	jpn	BN12432278		1995.4	略年表: p110-111	NDC8:291.41
原価計算	天野恭徳著	中央経済社	jpn	BN12439390	新版	1964		NDC6:335.96
門前遺跡調査概報		蒲郡市教育委員会	jpn	BN12453471		1978.4		
協同組合の税務会計	小島多計司著	同文館出版	jpn	BN12456764		1972		NDC6:679.8
国際分業の花形 : 片岡電気	実業之日本社事業出版社制作	実業之日本社	jpn	BN12460411		1963.4		NDC6:540.67
人間の理念と政治哲学 : 哲学、倫理学、教育原理、道徳教育の研究、政治思想史等論集	浅井茂紀, 関口和男著	高文堂出版社	jpn	BN12463704		1995.4	参考文献: p236-239	NDC9:104
プロベーション関係資料		最高裁判所事務総局	jpn	BN12470845		1952-1960	(2): 参考文献:p491-493	NDC8:326.56
親身に聞く	デビッド・アウグスバーガー著 ; 棚瀬多喜雄訳	すぐ書房	jpn	BN12518602	改訂増補版	1988.3		NDC8:361.45
ひのふるさと歳時記		日野市立図書館	jpn	BN12522450		1992.3	企画・編集:ひのふるさと歳時記編集委員会	NDC8:386.136
ルソーの社会経済思想	浅野清著	時潮社	jpn	BN12525743		1995.3		NDC9:135.34
36秒77 : 失敗だらけの青春・カルガリーへの四年間	黒岩彰著	ネスコ	jpn	BN12532884		1988.7	著者の肖像あり	NDC8:784.6
授戒会の研究	曹洞宗宗務庁編	曹洞宗宗務庁	jpn	BN1259125X		1985.3	授戒会関係文献目録:p360-370 付:年表(折り込2枚)	NDC8:188.86
通史	東京都港湾局編〔ほか〕	東京都港湾局	jpn	BN12601863		1994.3	付 (2枚 袋入): 明治四十年代前期東京の河岸図ほか	NDC8:683.92136
国際航空事情,空港整備及び鳥衝突の防除に関する諸問題	航空保安協会 [編]	航空保安協会	jpn	BN12667023		1993.12		NDC8:687
絢爛之満州帝国 ; 新生の栄光 ; 吉林北山廟会 ; 楽土新満州 ; 模範郷之建設		テンシャープ	jpnchi	BN12674164		c1994	タイトルはケースによる	
買春社会日本へ、タイ人女性からの手紙	下館事件タイ三女性を支える会編	明石書店	jpn	BN12677457		1995.5	訳者:福島由利子	NDC8:368.4
岐阜県内三地点の調査	服部秀一[著]	公明選挙連盟	jpn	BN12681104		1968	遡及	NDC6:314.8
新文学入門	タカクラ・テル著	理論社	jpn	BN12684598		1951.6		NDC6:904
ナチ・ドイツの特殊兵器	小橋良夫著	銀河出版	jpn	BN12691538				NDC8:559
人に好かれる話し方 : 話し方の基本とエチケット	安藤梢著	新星出版社	jpn	BN12698650		1976.6		NDC6:809
東京きりしたん巡礼	山田野理夫著	東京新聞出版局	jpn	BN1271842X		1982.3	日本キリシタン史年表: p242-247	NDC8:198.221
